,,,,,,
,Type d'Accord (Base),Intervalle de la Triade,Exemple (sur C),Résultat Sonore (Tensions),Couleur / Style,
,Dominant (7),II (2nde Maj),D / C7,"$9, \sharp 11, 13$","Lydien b7 (Moderne, brillant)",
,Dominant (7),bV (Quinte dim),Gb / C7,"$b5, 7, b9$","Très tendu (Jazz, Altéré)",
,Dominant (7),VI (6te Maj),A / C7,"$13, b9, 3$",Bluesy / Gospel / Diminué,
,Dominant (7),bVI (6te min),Ab / C7,"$b13, \sharp 9, b9$","Sombre, ""James Bond"" / Altered",
,Majeur (Maj7),V (Quinte),G / Cmaj7,"$5, 7, 9$",Maj9 (Stable et riche),
,Majeur (Maj7),II (2nde Maj),D / Cmaj7,"$9, \sharp 11, 6$",Lydien (Féerique / Aérien),
,Mineur (m7),bIII (3ce min),Eb / Cm7,"$b3, 5, b7, 9$","m9 (Standard Jazz, doux)",
,,,,,,
,Axis Theory,,,,,
,Famille (Fonction),Accord Principal,Substitut 1 (+ 3 demi-tons),Substitut 2 (+ 6 demi-tons),Substitut 3 (+ 9 demi-tons),
,Axe Tonique (I),C (ou Am),Eb (ou Cm),Gb (ou F#m),A (ou G#m),
,Axe Dominante (V),G (ou Em),Bb (ou Gm),Db (ou Bm),E (ou C#m),
,Axe Sous-Dom (IV),F (ou Dm),Ab (ou Fm),B (ou G#m),D (ou Bm),
,,,,,,
,Coltrane,,,,UST,
,Pôle de Résolution,Substitution de Tierce 1,Substitution de Tierce 2,Formule de Distance (Demi-tons),Note d'origine (Intervalle),Note Négative (Résultat)
,I,bVI,III,$0 \rightarrow +8 \rightarrow +4$,1 (Tonique),5 (Quinte)
,V,bIII,VII,$7 \rightarrow +3 \rightarrow +11$,2 (2nde Maj),4 (Quarte)
,IV,bII,VI,$5 \rightarrow +1 \rightarrow +9$,3 (3ce mineure),3 (3ce mineure) - Axe fixe
,,,,,4 (3ce Majeure),b3 (3ce mineure)
,Rythme harmonique,,,,5 (Quinte),1 (Tonique)
,Type de Rythme,Fréquence de Changement,Effet Ressenti,Style Associé,7 (7ème Majeure),b6 (6te mineure)
,Lent (Statique),1 accord toutes les 4 ou 8 mesures,"Hypnotique, spatial, ""Modal"".","Pink Floyd, Miles Davis (Kind of Blue).",,
,Standard,1 accord par mesure (ou toutes les 2),"Équilibré, prévisible.","Pop, Rock, Variété.",Harmonisation parallèle,
,Rapide (Double),2 accords par mesure,"Urgent, virtuose, dense.","Bebop, Jazz Fusion.","Tu prends un type d'accord précis (ex: un $min9$) et tu le déplaces sur une structure mélodique sans changer sa forme, même s'il sort de la gamme.",
,Anticipé (Syncopé),"Changement sur le ""4 et"" (croche avant)","Dynamique, rebondissant.","Funk, Latin Jazz, Bossa Nova.",Exemple : Jouer $Am9 \rightarrow Gm9 \rightarrow Bm9$.,
,Lent (Statique),1 accord toutes les 4 ou 8 mesures,"Hypnotique, spatial, ""Modal"".","Pink Floyd, Miles Davis (Kind of Blue).",,
,Standard,1 accord par mesure (ou toutes les 2),"Équilibré, prévisible.","Pop, Rock, Variété.",Lydian Chromatic Concept,
,Rapide (Double),2 accords par mesure,"Urgent, virtuose, dense.","Bebop, Jazz Fusion.","Tout accord peut être classé par son ""degré de brillance"".",
,Anticipé (Syncopé),"Changement sur le ""4 et"" (croche avant)","Dynamique, rebondissant.","Funk, Latin Jazz, Bossa Nova.",Échelle de brillance : Lydien (le plus brillant) > Majeur > Mixolydien > Dorien > Mineur > Phrygien (le plus sombre).,
,,,,,,
,Mesure,Temps 1,Temps 2 & (Anticipation),Temps 3,Temps 4 & (Anticipation),
,Mesure 1,$I_{maj7}$,$bIII_{7}$,$bVI_{maj7}$,$VII_{7}$,
,Mesure 2,$III_{maj7}$,$V_{7}$,$I_{maj7}$,(Silence ou Transition),
