TECHNIQUES,APPRENTISSAGE (  ⭕  ❌ ),DESCRIPTION,NOTES                                                            ,LIENS
Alternate picking,⭕,– attaque alternée haut/bas avec le médiator.,—,cf.
Economy picking,⭕,"– variante fluide de l’alternate, en combinant sweeping et alternate.",—,cf.
Down picking,⭕,– uniquement des coups vers le bas (ex : James Hetfield).,—,cf.
Hybrid picking,⭕,"– médiator + doigts (très utilisé en country, fusion, rock).",—,cf.
Finger picking,⭕,– jeu aux doigts (sans médiator).,—,cf.
Chicken picking,⭕,"– tiré claquant des cordes, souvent country/funk.",—,cf.
Raking,⭕,– balayage de plusieurs cordes mortes ou pour accentuer une note.,—,cf.
Sweep picking,⭕,– balayer plusieurs cordes dans un mouvement fluide (souvent pour les arpèges rapides).,—,cf.
Directional picking,⭕,"– semblable à l’economy, accentue le mouvement “naturel” de la main. +On remonte d'une corde alors on upstroke, on desdend alors on downstroke.",—,cf.
Slap picking,⭕,– mélange entre un slap alterné plus du finger picking.,—,cf.
Hammer-on,⭕,– enchaîner une note en frappant la corde sans regratter.,—,cf.
Pull-off,⭕,– retirer le doigt pour faire sonner une note inférieure.,—,cf.
Slide,⭕,– faire glisser un doigt d’une case à une autre.,—,cf.
Bend,⭕,– tirer ou pousser une corde pour monter la hauteur du son.,—,cf.
Vibrato,⭕,– faire osciller la note après un bend ou un appui.,—,cf.
Legato,⭕,"– jeu fluide combinant hammer-on, pull-off et slides sans attaque.",—,cf.
Trill,⭕,– alternance rapide entre deux notes proches (mini hammer/pull rapides).,—,cf.
Pre-bend / Release bend,⭕,"– bend avant de gratter, puis relâcher.",—,cf.
Harmoniques naturelles,⭕,"– toucher légèrement une corde sur une frette (5e, 7e, 12e...).",—,cf.
Harmoniques artificielles(pinch),⭕,"– générées avec le pouce du médiator (sons aigus, criards).",—,cf.
Tapped harmonics,⭕,"– harmoniques créées par tap sur une case spécifique. Joué fret 5 puis tap 12 ou 17,",—,cf.
Harmoniques à la main droite (touch harmonics),❌,– touchées avec un doigt pendant le grattage.,—,cf.
Feedback,⭕,– utiliser la résonance de l’ampli pour créer un sustain aigu.,—,cf.
Tapping,⭕,– frapper les cordes avec un ou plusieurs doigts de la main droite.,—,cf.
Two-hand tapping,⭕,– tapping avec les deux mains (Eddie Van Halen).,—,cf.
Palm mute,⭕,"– étouffer les cordes avec la paume (metal, rock).",—,cf.
Muted strumming,⭕,– gratter en étouffant les cordes pour un effet percussif.,—,cf.
Tremolo picking,⭕,– attaque ultra rapide d’une même note.,—,cf.
Dead notes / ghost notes,⭕,– notes étouffées percussives.,—,cf.
Whammy bar techniques,⭕,"– dive bombs, flutter, vibrato (grâce au vibrato/tremolo arm).",—,cf.
Volume swells,⭕,– utiliser le potard de volume ou une pédale pour un effet violon.,—,cf.
Strumming patterns,⭕❌,– rythmiques variées au médiator.,—,cf.
Syncopation,⭕❌,– accentuation des temps faibles.,—,cf.
Chugging,⭕,– palm mute agressif et rythmique typique du metal.,—,cf.
